lead_id,fecha_lead,industria,programa_producto_interes,tipo_campana,fuente_meta,dispositivo,hora_generacion,cargo_lead,empresa_lead,ciudad,urgencia_compra,interaccion_previa,horas_hasta_contacto,lead_respondio,intentos_contacto,observacion_asesor,status,compro
L0020,2025-10-26,Educación,Excel Intermedio y Avanzado,WhatsApp,Ambas Plataformas,Desktop,Mañana (6am-12pm),Asesor,Empresa 253,Villavicencio,3,No,1,No,7,Llamar nuevamente,NC,No
L0021,2025-05-31,Educación,Power BI Empresarial,Lead Form,Facebook,Mobile,Noche (6pm-12am),Analista,Empresa 77,Pasto,1,Sí,41,No contactado,6,Se encontraba en reunión,NC,No
L0022,2025-10-15,Educación,Preparación de Renta Personas Naturales,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Director,Empresa 487,Bogotá,9,No,1,Sí,2,Se envía información vía WhatsApp,SG,No
L0023,2025-07-14,Educación,Excel Intermedio y Avanzado,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Supervisor,Empresa 47,Barranquilla,6,No,13,No,7,NO CONTESTA,SG,No
L0024,2025-11-07,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Coordinador,Empresa 400,Cartagena,2,No,27,No contactado,7,Se encontraba en reunión,NI,No
L0025,2025-11-20,Educación,Licitaciones Exitosas,Lead Form,Instagram,Mobile,Noche (6pm-12am),Jefe,Empresa 262,Cúcuta,8,No,38,No,5,No es urgente ahora,NI,No
L0026,2025-10-11,Educación,Power BI Empresarial,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Asesor,Empresa 39,Valledupar,9,Sí,8,Sí,1,seguimiento,AP,Sí
L0027,2025-09-09,Educación,Información Exógena,WhatsApp,Facebook,Desktop,Noche (6pm-12am),Coordinador,Empresa 371,Armenia,9,No,0,Sí,6,seguimiento,AP,Sí
L0028,2025-07-20,Ropa Deportiva,Ropa Ciclismo - Jersey,Lead Form,Facebook,Mobile,Noche (6pm-12am),Asistente,Empresa 371,Pasto,2,No,11,No,2,No es urgente ahora,NI,No
L0029,2025-09-16,Ropa Deportiva,Ropa Ciclismo - Conjunto,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 52,Cali,2,Sí,16,Sí,5,Revisión de Info,NC,No
L0030,2025-10-22,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Analista,Empresa 464,Manizales,7,No,4,No contactado,1,Se envía información vía WhatsApp,NI,No
L0031,2025-08-04,Seguros,ARL,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Contador,Empresa 132,Bogotá,4,No,5,Sí,2,seguimiento,AP,Sí
L0032,2025-05-26,Educación,Facebook Ads Profesional,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Asistente,Empresa 330,Barranquilla,1,Sí,91,Sí,1,No tiene recurso,NI,No
L0033,2025-07-04,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Instagram,Desktop,Mañana (6am-12pm),Asistente,Empresa 119,Armenia,8,No,23,No,6,Desea cotización,NI,No
L0034,2025-11-19,Educación,Contratación Estatal,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 234,Cali,2,Sí,21,Sí,7,No aplica,SG,No
L0035,2025-09-10,Educación,Preparación de Renta Personas Naturales,Llamada Directa,Instagram,Mobile,Tarde (12pm-6pm),Jefe,Empresa 152,Cali,3,No,95,Sí,7,No le interesa,NC,No
L0036,2025-08-20,Educación,Información Exógena,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 136,Cartagena,5,No,20,No,1,Se encontraba en reunión,SG,No
L0037,2025-08-04,Educación,Power BI Empresarial,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 238,Ibagué,3,No,13,No contactado,7,Desea cotización,SG,No
L0038,2025-07-03,Educación,IA Generativa para Empresas,WhatsApp,Instagram,Tablet,Tarde (12pm-6pm),Jefe,Empresa 26,Manizales,7,No,42,No contactado,3,Se encontraba en reunión,NC,No
L0039,2025-07-19,Ropa Deportiva,Ropa Ciclismo - Conjunto,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Supervisor,Empresa 52,Medellín,7,No,27,No contactado,4,Precio muy alto,NC,No
L0040,2025-08-19,Educación,Excel Intermedio y Avanzado,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Especialista,Empresa 417,Manizales,2,No,150,No contactado,7,Ya contrató con otro,NC,No
L0041,2025-06-20,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Especialista,Empresa 90,Cartagena,7,Sí,5,Sí,3,Precio muy alto,SG,No
L0042,2025-06-17,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Facebook,Tablet,Tarde (12pm-6pm),Empresario,Empresa 448,Bucaramanga,6,No,73,Sí,6,Sin respuesta WhatsApp,SG,No
L0043,2025-08-30,Educación,Facebook Ads Profesional,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Auxiliar,Empresa 21,Neiva,10,No,7,No contactado,6,Desea cotización,NC,No
L0044,2025-06-18,Ropa Deportiva,Ropa Ciclismo - Jersey,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 437,Ibagué,9,No,8,Sí,1,Sin respuesta WhatsApp,SG,No
L0045,2025-08-24,Educación,Preparación de Renta Personas Naturales,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Consultor,Empresa 149,Bogotá,9,No,1,No,7,Se programa llamada,SG,No
L0046,2025-08-21,Educación,Licitaciones Exitosas,Lead Form,Instagram,Mobile,Noche (6pm-12am),Consultor,Empresa 185,Pasto,2,No,44,No,7,Pendiente pago,NC,No
L0047,2025-10-26,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Asistente,Empresa 411,Ibagué,7,No,47,Sí,7,No contesta,SG,No
L0048,2025-07-31,Seguros,ARL,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Asesor,Empresa 347,Cúcuta,5,Sí,23,No contactado,5,Sin respuesta WhatsApp,NI,No
L0049,2025-06-05,Educación,Información Exógena,Lead Form,Facebook,Mobile,Noche (6pm-12am),Supervisor,Empresa 161,Cartagena,6,No,9,No,2,Información enviada,SG,No
L0050,2025-09-19,Ropa Deportiva,Ropa Ciclismo - Conjunto,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Profesional Independiente,Empresa 219,Cartagena,1,Sí,13,No,4,Se programa llamada,SG,No
L0051,2025-10-09,Educación,Excel Intermedio y Avanzado,Llamada Directa,Ambas Plataformas,Mobile,Noche (6pm-12am),Asistente,Empresa 379,Bogotá,7,No,1,No contactado,7,Revisión de Info,SG,No
L0052,2025-06-25,Educación,Bootcamp Liderazgo,Messenger,Instagram,Mobile,Mañana (6am-12pm),Gerente,Empresa 60,Bogotá,6,Sí,44,No,2,Contactar próxima semana,NI,No
L0053,2025-08-29,Seguros,Seguro de Moto,Messenger,Instagram,Mobile,Mañana (6am-12pm),Auxiliar,Empresa 49,Cúcuta,4,Sí,2,Sí,5,Revisión de Info,SG,No
L0054,2025-06-14,Seguros,Seguro de Moto,Messenger,Ambas Plataformas,Mobile,Noche (6pm-12am),Gerente,Empresa 436,Bogotá,1,No,19,No,6,No es urgente ahora,NC,No
L0055,2025-10-13,Educación,Facebook Ads Profesional,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Especialista,Empresa 389,Ibagué,9,No,16,No contactado,4,Precio muy alto,NC,No
L0056,2025-08-08,Ropa Deportiva,Ropa Ciclismo - Conjunto,Messenger,Facebook,Tablet,Tarde (12pm-6pm),Supervisor,Empresa 456,Neiva,4,No,21,No,3,Se encontraba en reunión,SG,No
L0057,2025-11-01,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Administrador,Empresa 24,Armenia,2,No,8,No,6,MSJW,SG,No
L0058,2025-10-30,Educación,Información Exógena,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Gerente,Empresa 5,Barranquilla,8,No,43,Sí,6,seguimiento,AP,Sí
L0059,2025-08-25,Seguros,Seguro de Auto,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Asesor,Empresa 437,Pereira,2,Sí,6,Sí,1,seguimiento,AP,Sí
L0060,2025-10-19,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Ambas Plataformas,Tablet,Madrugada (12am-6am),Jefe,Empresa 71,Bogotá,5,No,41,No contactado,5,MSJW,NC,No
L0061,2025-07-13,Seguros,Seguro de Vida,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Contador,Empresa 340,Villavicencio,6,No,8,No contactado,1,Se programa llamada,SG,No
L0062,2025-11-21,Educación,Licitaciones Exitosas,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Asesor,Empresa 332,Valledupar,8,No,18,Sí,1,Ya contrató con otro,SG,No
L0063,2025-06-11,Educación,Bootcamp Liderazgo,Messenger,Instagram,Mobile,Noche (6pm-12am),Coordinador,Empresa 88,Barranquilla,1,No,39,Sí,2,MSJW,SG,No
L0064,2025-06-05,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Facebook,Mobile,Mañana (6am-12pm),Analista,Empresa 169,Neiva,1,No,105,No contactado,6,Ya contrató con otro,NC,No
L0065,2025-11-10,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Profesional Independiente,Empresa 184,Pereira,4,No,96,No contactado,5,MSJW,NC,No
L0066,2025-07-22,Educación,IA Generativa para Empresas,Lead Form,Instagram,Mobile,Noche (6pm-12am),Empresario,Empresa 458,Ibagué,5,Sí,38,No contactado,1,Desea cotización,SG,No
L0067,2025-08-07,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 225,Cúcuta,9,No,28,No contactado,3,Contactar próxima semana,NC,No
L0068,2025-06-14,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Facebook,Tablet,Mañana (6am-12pm),Gerente,Empresa 490,Barranquilla,7,No,129,No,4,Revisión de Info,SG,No
L0069,2025-07-23,Educación,Información Exógena,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Contador,Empresa 319,Bogotá,7,No,91,No,7,Pendiente pago,NI,No
L0070,2025-06-19,Educación,Power BI Empresarial,Llamada Directa,Instagram,Mobile,Noche (6pm-12am),Gerente,Empresa 138,Medellín,8,No,20,No,5,Llamar nuevamente,SG,No
L0071,2025-08-30,Educación,Información Exógena,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Auxiliar,Empresa 450,Valledupar,5,Sí,57,Sí,2,No le interesa,NC,No
L0072,2025-08-04,Educación,Preparación de Renta Personas Naturales,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Jefe,Empresa 376,Cartagena,5,Sí,1,No,5,No tiene recurso,NC,No
L0073,2025-09-18,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Empresario,Empresa 48,Pasto,1,No,4,No,6,No aplica,SG,No
L0074,2025-11-03,Ropa Deportiva,Ropa Ciclismo - Jersey,Messenger,Ambas Plataformas,Mobile,Noche (6pm-12am),Coordinador,Empresa 191,Pasto,9,No,46,No,2,NO CONTESTA,NI,No
L0075,2025-08-26,Educación,IA Generativa para Empresas,Lead Form,Facebook,Mobile,Noche (6pm-12am),Supervisor,Empresa 418,Barranquilla,6,Sí,20,No,4,Precio muy alto,NC,No
L0076,2025-07-05,Seguros,Seguro de Vida,Lead Form,Facebook,Desktop,Tarde (12pm-6pm),Auxiliar,Empresa 176,Pasto,9,No,22,No,3,Precio muy alto,NI,No
L0077,2025-08-27,Educación,Bootcamp Liderazgo,Messenger,Facebook,Desktop,Tarde (12pm-6pm),Director,Empresa 94,Cali,3,No,168,Sí,1,No aplica,SG,No
L0078,2025-08-23,Educación,Actualización Tributaria,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Empresario,Empresa 59,Cali,5,No,24,Sí,5,Se encontraba en reunión,SG,No
L0079,2025-07-17,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Mobile,Madrugada (12am-6am),Gerente,Empresa 206,Barranquilla,2,No,100,Sí,2,Se envía información vía WhatsApp,NC,No
L0080,2025-11-12,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Especialista,Empresa 205,Bogotá,10,No,8,Sí,4,seguimiento,AP,Sí
L0081,2025-08-01,Educación,IA Generativa para Empresas,Messenger,Facebook,Mobile,Noche (6pm-12am),Auxiliar,Empresa 493,Manizales,5,No,2,No contactado,1,No aplica,NC,No
L0082,2025-11-20,Seguros,Seguro de Auto,Lead Form,Facebook,Desktop,Tarde (12pm-6pm),Coordinador,Empresa 234,Bogotá,8,No,4,Sí,7,No le interesa,NC,No
L0083,2025-11-15,Educación,IA Generativa para Empresas,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Consultor,Empresa 140,Ibagué,2,No,137,Sí,4,No tiene recurso,NC,No
L0084,2025-11-06,Educación,Power BI Empresarial,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Asesor,Empresa 428,Bogotá,8,No,74,No,3,No contesta,NC,No
L0085,2025-06-12,Seguros,Seguro de Moto,WhatsApp,Ambas Plataformas,Mobile,Noche (6pm-12am),Contador,Empresa 198,Ibagué,4,No,2,No,1,NO CONTESTA,NC,No
L0086,2025-10-27,Educación,Actualización Tributaria,WhatsApp,Facebook,Mobile,Madrugada (12am-6am),Contador,Empresa 354,Cúcuta,10,No,1,Sí,1,Desea cotización,SG,No
L0087,2025-11-03,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 436,Manizales,10,No,24,No,7,Desea cotización,NI,No
L0088,2025-07-07,Educación,IA Generativa para Empresas,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Coordinador,Empresa 245,Cúcuta,1,No,115,No,1,NO CONTESTA,SG,No
L0089,2025-10-08,Seguros,Seguro de Vida,Messenger,Instagram,Mobile,Noche (6pm-12am),Contador,Empresa 410,Medellín,5,No,58,Sí,2,Pendiente decisión gerencia,SG,No
L0090,2025-07-26,Educación,IA Generativa para Empresas,Lead Form,Instagram,Mobile,Noche (6pm-12am),Auxiliar,Empresa 216,Valledupar,1,No,6,Sí,1,seguimiento,AP,Sí
L0091,2025-07-05,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 333,Ibagué,7,Sí,7,No contactado,4,Pendiente pago,SG,No
L0092,2025-09-20,Educación,Contratación Estatal,Lead Form,Ambas Plataformas,Tablet,Mañana (6am-12pm),Administrador,Empresa 454,Bucaramanga,8,No,97,No contactado,2,Pendiente pago,NC,No
L0093,2025-08-30,Ropa Deportiva,Ropa Ciclismo - Jersey,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Contador,Empresa 409,Cali,3,No,15,No,1,No contesta,NC,No
L0094,2025-08-02,Educación,Licitaciones Exitosas,Lead Form,Facebook,Desktop,Tarde (12pm-6pm),Empresario,Empresa 86,Villavicencio,3,No,104,Sí,4,Precio muy alto,NI,No
L0095,2025-11-04,Educación,Licitaciones Exitosas,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Consultor,Empresa 58,Villavicencio,7,No,28,Sí,4,Contactar próxima semana,NC,No
L0096,2025-11-17,Educación,Preparación de Renta Personas Naturales,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Especialista,Empresa 68,Cartagena,4,No,29,No,5,Pendiente decisión gerencia,NI,No
L0097,2025-10-14,Educación,Información Exógena,Lead Form,Facebook,Tablet,Noche (6pm-12am),Jefe,Empresa 357,Cúcuta,3,No,2,Sí,4,No aplica,SG,No
L0098,2025-07-20,Educación,Excel Intermedio y Avanzado,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Consultor,Empresa 372,Cali,8,Sí,18,Sí,7,Se envía información vía WhatsApp,SG,No
L0099,2025-11-16,Educación,Bootcamp Liderazgo,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Director,Empresa 31,Ibagué,3,No,107,No,6,MSJW,NI,No
L0100,2025-08-16,Educación,Información Exógena,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Coordinador,Empresa 483,Valledupar,7,No,117,Sí,3,Se envía información vía WhatsApp,NI,No
L0101,2025-06-08,Educación,Información Exógena,WhatsApp,Facebook,Mobile,Mañana (6am-12pm),Auxiliar,Empresa 433,Bucaramanga,2,Sí,118,No,1,NO CONTESTA,NC,No
L0102,2025-07-22,Educación,IA Generativa para Empresas,Lead Form,Facebook,Mobile,Noche (6pm-12am),Asistente,Empresa 82,Armenia,1,No,13,No contactado,7,No contesta,NI,No
L0103,2025-06-02,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Facebook,Desktop,Noche (6pm-12am),Especialista,Empresa 54,Medellín,6,No,38,Sí,1,Ya contrató con otro,NI,No
L0104,2025-08-13,Ropa Deportiva,Ropa Ciclismo - Pantalón,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 214,Villavicencio,8,Sí,44,No contactado,1,Pendiente pago,NC,No
L0105,2025-09-04,Educación,Información Exógena,Messenger,Facebook,Mobile,Noche (6pm-12am),Auxiliar,Empresa 467,Medellín,1,Sí,103,Sí,4,Pendiente pago,SG,No
L0106,2025-08-01,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Consultor,Empresa 303,Armenia,10,No,44,No contactado,4,Contactar próxima semana,SG,No
L0107,2025-06-10,Educación,Power BI Empresarial,Lead Form,Facebook,Mobile,Noche (6pm-12am),Consultor,Empresa 248,Cartagena,9,No,35,Sí,1,seguimiento,AP,Sí
L0108,2025-07-18,Seguros,Seguro de Salud,Messenger,Instagram,Mobile,Mañana (6am-12pm),Contador,Empresa 411,Valledupar,3,No,31,Sí,6,Ya contrató con otro,SG,No
L0109,2025-10-17,Educación,Bootcamp Liderazgo,WhatsApp,Facebook,Mobile,Madrugada (12am-6am),Auxiliar,Empresa 292,Villavicencio,3,Sí,104,Sí,2,seguimiento,AP,Sí
L0110,2025-08-13,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 348,Pasto,4,No,21,No,2,Pendiente decisión gerencia,NC,No
L0111,2025-07-18,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Gerente,Empresa 225,Cúcuta,1,No,17,No contactado,3,NO CONTESTA,NI,No
L0112,2025-11-08,Seguros,Seguro de Auto,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Profesional Independiente,Empresa 93,Manizales,9,No,2,Sí,5,seguimiento,AP,Sí
L0113,2025-09-29,Ropa Deportiva,Ropa Ciclismo - Jersey,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Contador,Empresa 313,Pereira,3,Sí,156,Sí,7,Precio muy alto,NI,No
L0114,2025-09-03,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Facebook,Mobile,Mañana (6am-12pm),Especialista,Empresa 195,Pasto,10,No,4,No,3,MSJW,SG,No
L0115,2025-11-05,Educación,Información Exógena,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Analista,Empresa 399,Bucaramanga,4,No,24,No,1,Llamar nuevamente,NC,No
L0116,2025-09-19,Ropa Deportiva,Ropa Ciclismo - Conjunto,Messenger,Instagram,Desktop,Tarde (12pm-6pm),Contador,Empresa 184,Ibagué,1,No,39,Sí,7,No le interesa,NI,No
L0117,2025-06-30,Educación,Información Exógena,Messenger,Ambas Plataformas,Mobile,Noche (6pm-12am),Director,Empresa 314,Pereira,4,No,109,No,1,Precio muy alto,NI,No
L0118,2025-07-31,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Administrador,Empresa 15,Cartagena,1,No,21,No,1,Revisión de Info,SG,No
L0119,2025-06-29,Educación,Actualización Tributaria,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Analista,Empresa 442,Manizales,5,No,124,No contactado,5,No tiene recurso,NC,No
L0120,2025-07-27,Seguros,Seguro de Vida,Lead Form,Instagram,Mobile,Noche (6pm-12am),Director,Empresa 351,Medellín,5,No,2,No contactado,4,Llamar nuevamente,SG,No
L0121,2025-10-15,Educación,Preparación de Renta Personas Naturales,Messenger,Instagram,Mobile,Noche (6pm-12am),Asistente,Empresa 451,Valledupar,7,No,30,Sí,5,No es urgente ahora,NC,No
L0122,2025-10-09,Ropa Deportiva,Ropa Ciclismo - Conjunto,Messenger,Facebook,Mobile,Noche (6pm-12am),Coordinador,Empresa 430,Ibagué,8,No,21,Sí,3,seguimiento,AP,Sí
L0123,2025-07-31,Educación,Facebook Ads Profesional,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Gerente,Empresa 373,Ibagué,4,No,13,Sí,4,seguimiento,AP,Sí
L0124,2025-10-21,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Ambas Plataformas,Mobile,Noche (6pm-12am),Jefe,Empresa 499,Manizales,7,No,130,No,4,Pendiente pago,NC,No
L0125,2025-09-11,Seguros,ARL,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Profesional Independiente,Empresa 457,Cali,4,No,20,No,3,Contactar próxima semana,NI,No
L0126,2025-10-21,Educación,Licitaciones Exitosas,Lead Form,Instagram,Mobile,Noche (6pm-12am),Jefe,Empresa 67,Bucaramanga,3,No,2,No contactado,4,Desea cotización,NI,No
L0127,2025-09-04,Seguros,Seguro de Auto,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Empresario,Empresa 248,Valledupar,6,No,15,No,7,Contactar próxima semana,NC,No
L0128,2025-08-25,Ropa Deportiva,Accesorios Ciclismo,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Empresario,Empresa 472,Villavicencio,4,No,43,No contactado,2,Pendiente decisión gerencia,NI,No
L0129,2025-07-20,Educación,IA Generativa para Empresas,WhatsApp,Facebook,Tablet,Tarde (12pm-6pm),Asistente,Empresa 250,Manizales,3,Sí,135,No contactado,3,No contesta,NI,No
L0130,2025-06-29,Educación,Power BI Empresarial,Lead Form,Instagram,Desktop,Tarde (12pm-6pm),Coordinador,Empresa 58,Bogotá,9,No,16,No contactado,3,Contactar próxima semana,SG,No
L0131,2025-10-02,Seguros,Seguro de Salud,Lead Form,Instagram,Desktop,Mañana (6am-12pm),Administrador,Empresa 455,Bogotá,5,No,10,No contactado,2,Contactar próxima semana,NI,No
L0132,2025-09-28,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Facebook,Desktop,Tarde (12pm-6pm),Administrador,Empresa 211,Manizales,7,No,4,No,5,NO CONTESTA,NI,No
L0133,2025-06-17,Educación,Información Exógena,WhatsApp,Instagram,Desktop,Noche (6pm-12am),Empresario,Empresa 226,Neiva,6,No,5,Sí,5,seguimiento,AP,Sí
L0134,2025-06-06,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Especialista,Empresa 24,Villavicencio,10,No,32,Sí,5,seguimiento,AP,Sí
L0135,2025-06-22,Educación,Licitaciones Exitosas,Messenger,Ambas Plataformas,Mobile,Mañana (6am-12pm),Especialista,Empresa 33,Medellín,5,No,110,Sí,4,Ya contrató con otro,NI,No
